"Name"	"RPKM log2"
"xtrop_cDNA"	2274.64366001
"xtrop_cDNA"	0
"xtrop_cDNA"	3324.543241
"xtrop_cDNA"	0
"xtrop_cDNA"	1643.72060103
"xtrop_cDNA"	0
"xtrop_cDNA"	3386.52204863
"xtrop_cDNA"	0
"xtrop_cDNA"	2118.64990306
"xtrop_cDNA"	0
"xtrop_cDNA"	2025.11753276
"xtrop_cDNA"	0
"xtrop_cDNA"	52500.8793897
"xtrop_cDNA"	0
"xtrop_cDNA"	506.703047946
"xtrop_cDNA"	0
"xtrop_cDNA"	704.737130231
"xtrop_cDNA"	0
"xtrop_cDNA"	591.369832522
"xtrop_cDNA"	0
"xtrop_cDNA"	3206.396376
"xtrop_cDNA"	0
"xtrop_cDNA"	1629.68683164
"xtrop_cDNA"	0
"xtrop_cDNA"	1385.71243183
"xtrop_cDNA"	0
"xtrop_cDNA"	3800.27285959
"xtrop_cDNA"	0
"xtrop_cDNA"	1295.94808225
"xtrop_cDNA"	0
"xtrop_cDNA"	1937.94252615
"xtrop_cDNA"	0
"xtrop_cDNA"	3600.22678549
"xtrop_cDNA"	0
"xtrop_cDNA"	1483.36634565
"xtrop_cDNA"	0
"xtrop_cDNA"	733.892383195
"xtrop_cDNA"	0
"xtrop_cDNA"	2612.3972487
"xtrop_cDNA"	0
"xtrop_cDNA"	2612.3972487
"xtrop_cDNA"	0
"xtrop_cDNA"	16604.4828783
"xtrop_cDNA"	0
"xtrop_cDNA"	2689.76149683
"xtrop_cDNA"	0
"xtrop_cDNA"	16584.2704828
"xtrop_cDNA"	0
"xtrop_cDNA"	1951.57974526
"xtrop_cDNA"	0
"xtrop_cDNA"	1036.53662019
"xtrop_cDNA"	0
"xtrop_cDNA"	215.987494799
"xtrop_cDNA"	0
"xtrop_cDNA"	604.325663993
"xtrop_cDNA"	0
"xtrop_cDNA"	71.1308603258
"xtrop_cDNA"	0
"xtrop_cDNA"	5271.41737343
"xtrop_cDNA"	0
"xtrop_cDNA"	3466.22012508
"xtrop_cDNA"	0
"xtrop_cDNA"	3465.33847174
"xtrop_cDNA"	0
"xtrop_cDNA"	874.130420521
"xtrop_cDNA"	0
"xtrop_cDNA"	957.000461968
"xtrop_cDNA"	0
"xtrop_cDNA"	15686.7912512
"xtrop_cDNA"	0
"xtrop_cDNA"	11670.609874
"xtrop_cDNA"	0
"xtrop_cDNA"	3520.13492536
"xtrop_cDNA"	0
"xtrop_cDNA"	1763.70739054
"xtrop_cDNA"	0
"xtrop_cDNA"	22243.229717
"xtrop_cDNA"	0
"xtrop_cDNA"	36653.1563132
"xtrop_cDNA"	0
"xtrop_cDNA"	3034.96952587
"xtrop_cDNA"	0
"xtrop_cDNA"	3033.61794737
"xtrop_cDNA"	0
"xtrop_cDNA"	3895.12485394
"xtrop_cDNA"	0
"xtrop_cDNA"	1742.41951677
"xtrop_cDNA"	0
"xtrop_cDNA"	6599.1659974
"xtrop_cDNA"	0
"xtrop_cDNA"	7219.9142563
"xtrop_cDNA"	0
"xtrop_cDNA"	1742.41951677
"xtrop_cDNA"	0
"xtrop_cDNA"	3925.08735282
"xtrop_cDNA"	0
"xtrop_cDNA"	9140.54223525
"xtrop_cDNA"	0
"xtrop_cDNA"	2555.43423632
"xtrop_cDNA"	0
"xtrop_cDNA"	646.901026294
"xtrop_cDNA"	0
"xtrop_cDNA"	647.870045432
"xtrop_cDNA"	0
"xtrop_cDNA"	22979.5120416
"xtrop_cDNA"	0
"xtrop_cDNA"	2634.68926738
"xtrop_cDNA"	0
"xtrop_cDNA"	2634.68926738
"xtrop_cDNA"	0
"xtrop_cDNA"	10874.1719658
"xtrop_cDNA"	0
"xtrop_cDNA"	1487.13092663
"xtrop_cDNA"	0
"xtrop_cDNA"	190.431955853
"xtrop_cDNA"	0
"xtrop_cDNA"	3176.19671787
"xtrop_cDNA"	0
"xtrop_cDNA"	1624.94894614
"xtrop_cDNA"	0
"xtrop_cDNA"	2058.15819951
"xtrop_cDNA"	0
"xtrop_cDNA"	11678.1126769
"xtrop_cDNA"	0
"xtrop_cDNA"	40367.3428197
"xtrop_cDNA"	0
"xlaevis_EST"	9471.12122543
"xlaevis_EST"	3316.9971225
"xlaevis_EST"	308.143828474
"xlaevis_EST"	8955.89223076
"xlaevis_EST"	612.243111209
"xlaevis_EST"	5255.80529974
"xlaevis_EST"	1408.15915578
"xlaevis_EST"	34828.4697863
"xlaevis_EST"	2157.00679932
"xlaevis_EST"	-559743.264423
"xlaevis_EST"	1466.25609541
"xlaevis_EST"	26654.441163
"xlaevis_EST"	113.285420851
"xlaevis_EST"	20731.2320157
"xlaevis_EST"	9197.65927455
"xlaevis_EST"	-447.589998967
"xlaevis_EST"	683.447209307
"xlaevis_EST"	2028.05530588
"xlaevis_EST"	2157.00679932
"xlaevis_EST"	2050.34162792
"xlaevis_EST"	24.0656633743
"xlaevis_EST"	2028.05530588
"xlaevis_EST"	548.678252987
"xlaevis_EST"	-49285.5704523
"xlaevis_EST"	177.679352577
"xlaevis_EST"	-279871.632211
"xlaevis_EST"	705.855314531
"xlaevis_EST"	-279871.632211
"xlaevis_EST"	4962.26298247
"xlaevis_EST"	26654.441163
"xlaevis_EST"	109.947606447
"xlaevis_EST"	-28341.43111
"xlaevis_EST"	20731.2320157
"xlaevis_EST"	-2512.87660796
"xlaevis_EST"	7538.62982387
"xlaevis_EST"	12037.4895575
"xlaevis_EST"	603.09038591
"xlaevis_EST"	621936.96047
"xlaevis_EST"	183.914330351
"xlaevis_EST"	74632.4352564
"xlaevis_EST"	366.024694734
"xlaevis_EST"	-71078.509768
"xlaevis_EST"	144.07806034
"xlaevis_EST"	-18395.3185491
"xlaevis_EST"	864.659130742
"xlaevis_EST"	8578.44083406
"xlaevis_EST"	2237.85413063
"xlaevis_EST"	9213.88089585
"xlaevis_EST"	15128.1963357
"xlaevis_EST"	3807.777309
"xlaevis_EST"	10085.4642238
"xlaevis_EST"	6996.79080528
"xlaevis_EST"	349.894211235
"xlaevis_EST"	64.605639938
"xlaevis_EST"	0.0
"xlaevis_EST"	20.5378340781
"xlaevis_EST"	6826.13737101
"xlaevis_EST"	-373162.176282
"xlaevis_EST"	527.686320455
"xlaevis_EST"	-32448.8848941
"xlaevis_EST"	6.51601100573
"xlaevis_EST"	18292.2635432
"xlaevis_EST"	1460.517324
"xlaevis_EST"	3331.80514537
"xlaevis_EST"	1123.98245868
"xlaevis_EST"	36704.4763556
"xlaevis_EST"	513.290476316
"xlaevis_EST"	23322.6360176
"xlaevis_EST"	903.540378406
"xlaevis_EST"	29616.0457367
"xlaevis_EST"	5705.84367403
"xlaevis_EST"	29616.0457367
"xlaevis_EST"	7.96104784754
"xlaevis_EST"	292.217835773
"xlaevis_EST"	9692.52405927
"xlaevis_EST"	4078.27515062
"xlaevis_EST"	4814.99582299
"xlaevis_EST"	26034.5704383
"xlaevis_EST"	448.871904108
"xlaevis_EST"	124387.392094
"xlaevis_EST"	193.348277866
"xlaevis_EST"	14352.3913955
"xlaevis_EST"	166.925598874
"xlaevis_EST"	0.0
"xlaevis_EST"	5330.8882326
"xlaevis_EST"	447794.611538
"xlaevis_EST"	1289.43391943
"xlaevis_EST"	106617.764652
"xlaevis_EST"	326.190713533
"xlaevis_EST"	1923.51637259
"xlaevis_EST"	0.0
"xlaevis_EST"	149264.870513
"xlaevis_EST"	7988.18114365
"xlaevis_EST"	5487.67906297
"xlaevis_EST"	675.493983443
"xlaevis_EST"	2399.75676065
"xlaevis_EST"	1322.48851606
"xlaevis_EST"	-1197.95241182
"xlaevis_EST"	1489.66936639
"xlaevis_EST"	2115.43183833
"xlaevis_EST"	4289.22041703
"xlaevis_EST"	-679.712525103
"xlaevis_EST"	4134.76095603
"xlaevis_EST"	1982.26919672
"xlaevis_EST"	62193.696047
"xlaevis_EST"	-7571.40647528
"xlaevis_EST"	5977.4261647
"xlaevis_EST"	41462.4640313
"xlaevis_EST"	4279.38275553
"xlaevis_EST"	-4835.79494102
"xlaevis_EST"	12356.363453
"xlaevis_EST"	-5970.59482051
"xlaevis_EST"	8991.85966944
"xlaevis_EST"	46645.2720352
"xlaevis_EST"	733.128047705
"xlaevis_EST"	29852.9741025
"xlaevis_EST"	126.904327931
"xlaevis_EST"	-1316.26869941
"xlaevis_EST"	39.5152407774
"xlaevis_EST"	24336.6636706
"xlaevis_EST"	1352.03687059
"xlaevis_EST"	1776.9627442
"xlaevis_EST"	857.449853589
